resistance_ohm,frequency_Hz,I_P_PP,I_P_AMP,I_P_AVG,I_OUT_AMP,I_OUT_AVG,I_IN_AMP,I_IN_AVG,V_SW_FREQ,V_SW_AMP,V_OUT_AVG,V_OUT_PP,V_SEC_AMP
5.0,263000.0,3.1,2.8,-0.72,0.01,0.42558,0.031,0.1094,263000.0,24.0,1.98978,0.1,6.4
5.0,264000.0,3.1,2.8,-0.76,0.01,0.42086,0.031,0.1083,265000.0,23.0,1.97327,0.09,6.4
5.0,265000.0,2.8,2.8,-0.74,0.015,0.41861,9.9e+37,0.1065,265000.0,24.0,1.96791,0.09,6.4
5.0,266000.0,2.8,2.8,-0.75,0.01,0.41679,0.031,0.1068,266000.0,24.0,1.95267,0.1,6.4
5.0,267000.0,2.8,2.8,-0.75,0.01,0.4149,0.031,0.1074,267000.0,24.0,1.94836,0.09,6.4
5.0,268000.0,3.1,2.8,-0.75,0.01,0.41386,0.031,0.1053,267000.0,24.0,1.92857,0.08,6.4
5.0,269000.0,2.8,2.8,-0.71,0.01,0.41117,0.031,0.105,269000.0,24.0,1.92087,0.09,6.4
5.0,270000.0,2.8,2.8,-0.74,0.01,0.40803,0.031,0.1047,270000.0,24.0,1.90734,0.1,6.4
5.0,271000.0,2.8,2.8,-0.75,0.01,0.40564,9.9e+37,0.1039,270000.0,24.0,1.89587,0.08,6.4
5.0,272000.0,2.8,2.8,-0.77,0.016,0.4044,9.9e+37,0.1038,272000.0,24.0,1.88341,0.08,6.4
5.0,273000.0,2.8,2.8,-0.76,0.01,0.40314,0.031,0.1055,273000.0,24.0,1.87332,0.09,6.4
5.0,274000.0,2.8,2.8,-0.73,0.01,0.40055,0.031,0.1045,273000.0,24.0,1.85947,0.09,6.4
5.0,275000.0,3.1,2.5,-0.73,0.01,0.39825,0.031,0.1035,275000.0,24.0,1.8575,0.08,6.4
5.0,276000.0,2.8,2.5,-0.74,0.01,0.3961,0.031,0.1019,276000.0,24.0,1.8423,0.08,6.4
5.0,277000.0,3.1,2.5,-0.75,0.01,0.39189,0.031,0.1013,276000.0,24.0,1.82859,0.09,6.4
5.0,278000.0,2.8,2.5,-0.76,0.01,0.39159,0.031,0.1035,278000.0,24.0,1.82602,0.08,6.4
5.0,279000.0,2.8,2.8,-0.75,0.01,0.39032,0.031,0.1016,279000.0,24.0,1.81233,0.08,6.4
5.0,280000.0,3.1,2.5,-0.76,0.01,0.38788,0.031,0.099,279000.0,24.0,1.80926,0.08,6.4
5.0,281000.0,2.8,2.5,-0.76,0.01,0.38739,0.031,0.1026,281000.0,24.0,1.7971,0.08,6.4
5.0,282000.0,2.8,2.8,-0.76,0.01,0.38382,0.031,0.1011,282000.0,24.0,1.78565,0.1,6.4
5.0,283000.0,2.8,2.5,-0.8,0.01,0.38284,0.031,0.0995,282000.0,24.0,1.76956,0.09,6.4
5.0,284000.0,2.8,2.8,-0.79,0.01,0.38085,9.9e+37,0.0978,284000.0,24.0,1.77258,0.1,6.4
5.0,285000.0,2.8,2.5,-0.75,0.01,0.37883,0.031,0.0977,286000.0,24.0,1.75948,0.1,6.4
5.0,286000.0,2.8,2.5,-0.75,0.01,0.37737,0.031,0.1,286000.0,24.0,1.75206,0.09,6.4
5.0,287000.0,2.8,2.5,-0.74,0.01,0.37566,0.031,0.0992,287000.0,24.0,1.74076,0.09,6.0
5.0,288000.0,2.8,2.5,-0.73,0.01,0.37324,0.031,0.0988,287000.0,24.0,1.72812,0.08,6.4
5.0,289000.0,2.8,2.5,-0.73,0.01,0.37131,9.9e+37,0.0968,289000.0,24.0,1.72193,0.09,6.0
5.0,290000.0,2.8,2.5,-0.76,0.01,0.36916,9.9e+37,0.0964,291000.0,24.0,1.71086,0.08,6.0
5.0,291000.0,2.8,2.5,-0.75,0.01,0.36674,0.031,0.0987,291000.0,24.0,1.70325,0.09,6.0
5.0,292000.0,2.8,2.5,-0.74,0.01,0.36634,0.031,0.0971,292000.0,24.0,1.68666,0.09,6.0
5.0,293000.0,2.8,2.5,-0.76,0.01,0.36588,0.031,0.0978,292000.0,23.0,1.69334,0.09,6.4
5.0,294000.0,2.8,2.5,-0.73,0.01,0.36301,9.9e+37,0.0951,294000.0,24.0,1.67624,0.09,6.0
5.0,295000.0,2.8,2.5,-0.71,0.01,0.36104,9.9e+37,0.0952,294000.0,24.0,1.67502,0.09,6.0
