resistance_ohm,frequency_Hz,V_IN_V,I_IN_A,P_IN_W,I_OUT_A,V_OUT_V,P_OUT_W
5.0,380000.0,24.0025666,0.0239952496,0.5759475766076234,0.2382805,1.190676,0.2837031
5.0,381000.0,24.0038068,0.0238517514,0.5725328324472295,0.2377036,1.180404,0.280593
5.0,382000.0,24.0022134,0.0237984025,0.5712143353840935,0.236806,1.179508,0.2793192
5.0,383000.0,24.0032825,0.0237472467,0.5700118711372928,0.2360361,1.178688,0.27825
5.0,384000.0,24.0035235,0.0236104878,0.5667348987537633,0.2352934,1.168849,0.2749665
5.0,385000.0,24.0024137,0.023562634,0.5655600891296858,0.2342353,1.168031,0.2736612
5.0,386000.0,24.0034616,0.0235093276,0.5643052422884203,0.2338004,1.1671,0.2726124
5.0,387000.0,24.0036953,0.0233779129,0.5611562980015393,0.2329711,1.157421,0.2696178
5.0,388000.0,24.0036472,0.023329804,0.5600003844611487,0.2320799,1.15652,0.2683338
5.0,389000.0,24.0028717,0.0232811173,0.5588136715845504,0.2313719,1.155686,0.2673686
